"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3864","Страница восстановления пароля. Можно авторизоваться при клике на ссылку 'Войти'","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.ForgotPasswordTests","ru.education_services.stellarburgers.ForgotPasswordTests","successLoginFromRegisterPageTest"
"","4350","Главная страница. Можно авторизоваться на главной странице через Личный Кабинет или кнопкой 'Войти в аккаунт' [2] By.xpath: .//p[text()='Личный Кабинет']","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","successLoginFromMainPageTest"
"","4109","Страница регистрации. Можно авторизоваться при клике на ссылку 'Войти'","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.RegisterPageTests","ru.education_services.stellarburgers.RegisterPageTests","successLoginFromRegisterPageTest"
"","4315","Главная страница. Можно перейти к разделу 'Булки' из раздела 'Cоусы' и 'Начинки' [2] By.xpath: .//span[text()='Начинки']/parent::div","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","transitToBunListTest"
"","4377","Главная страница. Можно перейти к разделу 'Начинки' из раздела 'Булки' и 'Соусы' [2] By.xpath: .//span[text()='Соусы']/parent::div","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","transitToMainIngredientListTest"
"","5172","Личный кабинет. Можно выйти из личного кабинета","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.AccountProfileTests","ru.education_services.stellarburgers.AccountProfileTests","exitFromPersonalCabinetTest"
"","4704","Главная страница. Можно перейти к разделу 'Соусы' из раздела 'Булки' и 'Начинки' [2] By.xpath: .//span[text()='Начинки']/parent::div","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","transitToSauceListTest"
"","11766","Личный кабинет. Можно перейти на страницу конструктора из личного кабинета [1] By.xpath: .//p[text()='Конструктор']/parent::a","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.AccountProfileTests","ru.education_services.stellarburgers.AccountProfileTests","openMainPageFromPersonalCabinetTest"
"","4366","Личный кабинет. Можно перейти на страницу конструктора из личного кабинета [2] By.xpath: .//div[starts-with(@class, 'AppHeader_header__logo')]/a","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.AccountProfileTests","ru.education_services.stellarburgers.AccountProfileTests","openMainPageFromPersonalCabinetTest"
"","4380","Главная страница. Можно перейти в личный кабинет авторизованным пользователем","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","openProfileFromMainPageTest"
"","4443","Главная страница. Можно перейти к разделу 'Начинки' из раздела 'Булки' и 'Соусы' [1] By.xpath: .//span[text()='Булки']/parent::div","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","transitToMainIngredientListTest"
"","4261","Главная страница. Можно перейти к разделу 'Булки' из раздела 'Cоусы' и 'Начинки' [1] By.xpath: .//span[text()='Соусы']/parent::div","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","transitToBunListTest"
"","4202","Главная страница. Можно авторизоваться на главной странице через Личный Кабинет или кнопкой 'Войти в аккаунт' [1] By.xpath: .//button[text()='Войти в аккаунт']","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","successLoginFromMainPageTest"
"","2823","Страница регистрации. Срабатывает валидация при попытке ввести пароль короче 6 символов","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.RegisterPageTests","ru.education_services.stellarburgers.RegisterPageTests","unsuccessRegistrationWithShortPasswordTest"
"","4167","Страница регистрации. Можно зарегистрироваться с валидными данными пользователя","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.RegisterPageTests","ru.education_services.stellarburgers.RegisterPageTests","successRegistrationWithValidCredsRedirectsToLoginPageTest"
"","4123","Главная страница. Можно перейти к разделу 'Соусы' из раздела 'Булки' и 'Начинки' [1] By.xpath: .//span[text()='Булки']/parent::div","","2025-10-13","passed","2025-10-13","","ru.education_services.stellarburgers.MainPageTests","ru.education_services.stellarburgers.MainPageTests","transitToSauceListTest"
